round,bank_isolated_f1,bank_on_hospital_f1,hospital_isolated_f1,hospital_on_bank_f1,global_on_bank_f1,global_on_hospital_f1,global_on_tech_f1
0,0.769899516894132,0.33520486919244025,0.9469995229957069,0.5502127226216003,0.06697143583031637,0.3333333333333333,0.1383727639930756
1,0.7716272710115742,0.34525397085717535,0.9499944868921798,0.37910616708465,0.7152727825879179,0.34912658530748986,0.5805443270894755
2,0.7712074576494298,0.3435974819041332,0.9574976092405197,0.42584120421898625,0.7318988990945215,0.41341066593903086,0.6227783346828231
3,0.7720854425619946,0.35285028738513724,0.9674998699994801,0.5021180555555554,0.7338778299822714,0.745943279328234,0.7357190635451506
4,0.7736570314420228,0.35499963791147343,0.9722497901390379,0.6492814440657971,0.7492491368952564,0.7637830742978178,0.7580092575329106
5,0.7726946696143453,0.35525093685066167,0.9672480328349722,0.6636748008059693,0.7448907732867033,0.9451376659421207,0.8236829748463165
